id,listing_url,scrape_id,last_scraped,host_id,neighbourhood,neighbourhood_cleansed,city,state,zipcode,market,country_code,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,pastBooking,Average Weekly Earning,
9316530,https://www.airbnb.com/rooms/9316530,2.02E+13,4/2/17,9572870,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.75222414,-122.507843,House,Entire home/apt,6,1,2,3,Real Bed,,150.00,,,500.00,250.00,1,0.00,30,1125,today,23,45,73,329,4/2/17,36,912.5,
8153250,https://www.airbnb.com/rooms/8153250,2.02E+13,4/2/17,12277155,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.75459245,-122.4981408,Apartment,Entire home/apt,5,2,2,2,Real Bed,,300.00,922.00,,,80.00,1,0.00,2,27,5 days ago,4,8,8,25,4/2/17,340,103.8461538,
13175533,https://www.airbnb.com/rooms/13175533,2.02E+13,4/2/17,4857720,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.75389865,-122.5010121,Apartment,Entire home/apt,2,1,0,1,Real Bed,,140.00,,,,75.00,1,0.00,2,1125,a week ago,13,29,59,331,4/2/17,34,1961.538462,
15148862,https://www.airbnb.com/rooms/15148862,2.02E+13,4/2/17,7942039,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.75171413,-122.4993429,House,Private room,2,2,1,1,Real Bed,,89.00,,,,,1,0.00,1,1125,3 weeks ago,15,45,72,153,4/2/17,212,91.53846154,
1337098,https://www.airbnb.com/rooms/1337098,2.02E+13,4/2/17,875149,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.76149706,-122.503735,House,Entire home/apt,4,1,1,1,Real Bed,,159.00,879.00,3751.00,400.00,90.00,1,0.00,3,28,today,0,25,55,326,4/2/17,39,362.8461538,
8018902,https://www.airbnb.com/rooms/8018902,2.02E+13,4/2/17,810374,,Outer Sunset,San Francisco,CA,94116,San Francisco,US,United States,37.74666442,-122.5025599,House,Private room,2,1,1,1,Real Bed,,70.00,600.00,2100.00,,,1,0.00,1,1125,today,14,32,32,32,4/2/17,333,119.25,
2959642,https://www.airbnb.com/rooms/2959642,2.02E+13,4/2/17,15106500,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.7602816,-122.487042,Condominium,Entire home/apt,4,1,2,4,Real Bed,,225.00,1800.00,,500.00,180.00,4,100.00,2,1125,2 weeks ago,12,24,49,316,4/2/17,49,448.2692308,
11461920,https://www.airbnb.com/rooms/11461920,2.02E+13,4/2/17,1336390,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.76075123,-122.5066116,House,Entire home/apt,6,1,3,4,Real Bed,,320.00,,,,120.00,4,25.00,2,60,3 weeks ago,7,14,44,44,4/2/17,321,212.0192308,
2305140,https://www.airbnb.com/rooms/2305140,2.02E+13,4/2/17,11773501,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.75805958,-122.5077478,Apartment,Entire home/apt,5,2,3,3,Real Bed,,275.00,,,,60.00,4,50.00,2,365,5 days ago,17,17,17,168,4/2/17,197,1975.384615,
14452358,https://www.airbnb.com/rooms/14452358,2.02E+13,4/2/17,3120119,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.75296064,-122.5064656,Apartment,Entire home/apt,5,1,2,2,Real Bed,,220.00,,,1000.00,125.00,4,25.00,2,1125,today,2,12,28,239,4/2/17,126,1041.826923,
6934867,https://www.airbnb.com/rooms/6934867,2.02E+13,4/2/17,25943995,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.75633847,-122.5036482,House,Entire home/apt,14,2,4,7,Real Bed,,520.00,,,300.00,175.00,5,25.00,1,1125,today,13,41,71,346,4/2/17,19,533.0769231,
17844924,https://www.airbnb.com/rooms/17844924,2.02E+13,4/2/17,6044696,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.76339026,-122.5078367,Apartment,Private room,2,1,1,1,Real Bed,,80.00,,,,,1,0.00,1,30,today,11,18,26,55,4/2/17,310,190,
10428872,https://www.airbnb.com/rooms/10428872,2.02E+13,4/2/17,5521493,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.76244474,-122.5072784,Apartment,Entire home/apt,3,1,2,2,Real Bed,,200.00,,,200.00,150.00,1,0.00,7,1125,7 months ago,29,59,89,364,4/2/17,1,476.9230769,
13363080,https://www.airbnb.com/rooms/13363080,2.02E+13,4/2/17,1383366,Outer Sunset,Outer Sunset,San Francisco,CA,94116,San Francisco,US,United States,37.74747482,-122.5016667,House,Private room,1,1,1,1,Real Bed,,90.00,,,100.00,40.00,1,0.00,4,1125,4 weeks ago,1,31,61,61,4/2/17,304,3.846153846,
6055808,https://www.airbnb.com/rooms/6055808,2.02E+13,4/2/17,31428535,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.75262838,-122.4976165,Apartment,Entire home/apt,3,1,1,2,Real Bed,,165.00,995.00,3995.00,200.00,50.00,2,25.00,5,120,9 months ago,0,0,0,270,4/2/17,95,526.1538462,
4252808,https://www.airbnb.com/rooms/4252808,2.02E+13,4/2/17,3059177,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.75733976,-122.508541,House,Entire home/apt,3,1,1,2,Real Bed,,130.00,,3200.00,350.00,50.00,2,25.00,2,30,2 weeks ago,2,5,8,157,4/2/17,208,301.4423077,
5146120,https://www.airbnb.com/rooms/5146120,2.02E+13,4/2/17,26606416,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.76233577,-122.481655,House,Private room,3,1,1,1,Real Bed,,60.00,,,,,1,20.00,1,60,yesterday,27,46,58,58,4/2/17,307,520,
